accel.x_mean,accel.x_std,accel.x_min,accel.x_max,accel.x_energy,accel.x_dom_freq,accel.y_mean,accel.y_std,accel.y_min,accel.y_max,accel.y_energy,accel.y_dom_freq,accel.z_mean,accel.z_std,accel.z_min,accel.z_max,accel.z_energy,accel.z_dom_freq,gyro.x_mean,gyro.x_std,gyro.x_min,gyro.x_max,gyro.x_energy,gyro.x_dom_freq,gyro.y_mean,gyro.y_std,gyro.y_min,gyro.y_max,gyro.y_energy,gyro.y_dom_freq,gyro.z_mean,gyro.z_std,gyro.z_min,gyro.z_max,gyro.z_energy,gyro.z_dom_freq,label,source
-2.9781999999999993,0.045196902548736644,-3.1,-2.88,443.58590000000004,0.0,8.6882,0.03057384503133368,8.57,8.75,3774.2877000000003,0.0,-4.3782,0.04160240377670504,-4.46,-4.29,958.5183,0.0,0.0106,0.007045565981523416,0.0,0.03,0.0081,0.0,0.0408,0.017417232845661795,-0.0,0.08,0.09840000000000002,0.0,-0.005599999999999999,0.010423051376636306,-0.03,0.01,0.007000000000000001,0.0,repos,repos_initial_FV.csv
-2.9786,0.03187538235064791,-3.05,-2.93,443.6537,0.0,8.687600000000002,0.028253141418256494,8.63,8.75,3773.759600000001,0.0,-4.386399999999999,0.03686515970398071,-4.54,-4.33,962.0931999999999,0.0,0.0104,0.0028,0.0,0.02,0.0058000000000000005,0.0,0.04,0.00938083151964686,0.02,0.06,0.0844,0.0,-0.0012,0.007110555533852472,-0.01,0.01,0.0026,4.284000000000001,repos,repos_initial_FV.csv
-2.9714000000000005,0.030594770795023096,-3.03,-2.9,441.50770000000006,0.0,8.692000000000002,0.02374868417407597,8.63,8.75,3777.5714,0.0,-4.3740000000000006,0.0322490309931942,-4.45,-4.31,956.6458,0.0,0.013800000000000002,0.004853864439804639,0.01,0.02,0.0107,0.0,0.0342,0.008022468448052633,0.02,0.05,0.06169999999999999,0.0,-0.0062,0.005617828762075256,-0.01,0.01,0.0035000000000000005,0.0,repos,repos_initial_FV.csv
-2.9964,0.04063299152166864,-3.08,-2.91,449.0032,0.0,8.6844,0.0391489463459747,8.61,8.78,3771.0168000000003,0.0,-4.36,0.04312771730569569,-4.45,-4.25,950.5730000000001,0.0,0.0126,0.007952358140828416,-0.0,0.03,0.011099999999999999,0.0,0.038599999999999995,0.014143549766589717,0.02,0.08,0.0845,0.0,-0.0013999999999999998,0.008720091742636656,-0.02,0.02,0.0039000000000000003,5.712000000000001,repos,repos_initial_FV.csv
-2.9760000000000004,0.04054626986542656,-3.05,-2.86,442.91099999999994,0.0,8.69,0.03340658617698012,8.59,8.76,3775.8608000000004,0.0,-4.3524,0.04235847022733474,-4.47,-4.28,947.2589999999999,0.0,0.011800000000000001,0.006539113089708727,0.0,0.02,0.0091,0.0,0.0404,0.009789790600416334,0.02,0.06,0.08640000000000002,0.0,-0.0036,0.006858571279792899,-0.02,0.01,0.0029999999999999996,4.284000000000001,repos,repos_initial_FV.csv
-2.9715999999999996,0.038176432520600975,-3.07,-2.9,441.5932,0.0,8.6996,0.02135040983213227,8.65,8.74,3784.1748000000002,0.0,-4.364599999999999,0.040507283295723555,-4.46,-4.27,952.5687,0.0,0.0102,0.005473572873361604,0.0,0.02,0.006700000000000001,0.0,0.0396,0.007200000000000001,0.03,0.05,0.08100000000000002,0.0,-0.001,0.006403124237432849,-0.01,0.01,0.0021,2.8560000000000003,repos,repos_initial_FV.csv
-2.9523999999999995,0.03361904222312107,-3.05,-2.87,435.8898,0.0,8.7062,0.025603905952022415,8.65,8.77,3789.9287,0.0,-4.349799999999999,0.02852998422712501,-4.41,-4.3,946.0787,0.0,0.012000000000000002,0.003999999999999999,0.01,0.02,0.008,0.0,0.03900000000000001,0.0067082039324993705,0.02,0.05,0.07830000000000001,0.0,-0.0032000000000000006,0.0050754310161798075,-0.01,0.01,0.0018000000000000002,0.0,repos,repos_initial_FV.csv
-2.958799999999999,0.026505848411246914,-3.02,-2.87,437.76000000000005,0.0,8.7044,0.03014365604899327,8.61,8.76,3788.3744,0.0,-4.3522,0.036567198416066836,-4.42,-4.26,947.1490999999999,0.0,0.014199999999999999,0.004935585071701226,0.01,0.02,0.0113,0.0,0.038000000000000006,0.007745966692414835,0.02,0.06,0.07520000000000002,0.0,-0.0052,0.004995998398718718,-0.01,-0.0,0.0026,0.0,repos,repos_initial_FV.csv
-2.9642,0.035047967130776625,-3.03,-2.88,439.38550000000004,0.0,8.7022,0.025556995128535934,8.64,8.74,3786.4469000000004,0.0,-4.3492,0.030055947830670726,-4.41,-4.29,945.8222,0.0,0.013000000000000001,0.0045825756949558405,0.01,0.02,0.0095,0.0,0.0352,0.00921737489744233,0.02,0.06,0.06620000000000001,0.0,-0.001,0.005,-0.01,0.01,0.0013000000000000002,4.284000000000001,repos,repos_initial_FV.csv
-2.9458,0.02829063449270802,-3.0,-2.89,433.92690000000005,0.0,8.7142,0.029467948690059885,8.63,8.76,3796.9075,0.0,-4.331,0.031128764832546778,-4.39,-4.25,937.9264999999999,0.0,0.0102,0.0014000000000000002,0.01,0.02,0.005300000000000001,0.0,0.042,0.007745966692414834,0.03,0.06,0.09120000000000002,0.0,-0.0004,0.004454211490264017,-0.01,0.01,0.001,9.996,repos,repos_initial_FV.csv
