cutoff,window,with_freqs,stride,model,metric,mean_score,std_score
10,50,False,25,Logistic Regression,f1_macro,0.9456474964778405,0.014793243010874103
5,100,True,50,Logistic Regression,f1_macro,0.9455908257471636,0.01845968294483495
5,50,False,25,SVM,precision_macro,0.9454130092182366,0.016857932643654035
5,100,False,50,Logistic Regression,precision_macro,0.943846967846968,0.018373609243971637
5,100,True,50,Logistic Regression,recall_macro,0.9434962957338721,0.018034411266638614
20,50,False,25,Logistic Regression,recall_macro,0.9430204358198931,0.015538220344886373
5,50,False,25,SVM,accuracy,0.9426103585657369,0.016977652874640592
5,50,True,25,Logistic Regression,accuracy,0.9425944223107571,0.011395028095227659
10,50,False,25,Logistic Regression,recall_macro,0.9411770787013067,0.016629949087067535
5,150,False,75,Logistic Regression,accuracy,0.9411321890996687,0.018094929495165134
5,50,False,25,SVM,f1_macro,0.9411065181256536,0.017462301563210984
5,50,True,25,Logistic Regression,f1_macro,0.940984279297162,0.011892658132667256
5,150,False,75,Logistic Regression,f1_macro,0.9392835872816161,0.01874624739196718
5,50,False,25,SVM,recall_macro,0.9385090488947576,0.017941913574041162
5,50,True,25,Logistic Regression,recall_macro,0.9378327432953354,0.01326747633580373
5,100,False,50,Logistic Regression,accuracy,0.937225806451613,0.01631071862744253
5,50,False,25,Logistic Regression,precision_macro,0.9369376178447549,0.015875804056393977
5,100,False,50,Logistic Regression,f1_macro,0.9352690011737879,0.016690820090801972
5,150,False,75,Logistic Regression,recall_macro,0.9352084342833649,0.019570193390978884
5,50,False,25,Logistic Regression,accuracy,0.9314454183266931,0.01818851745654896
5,100,False,50,Logistic Regression,recall_macro,0.9310454621509632,0.0163188600204449
5,50,False,25,Logistic Regression,f1_macro,0.9292343419378618,0.019075048747925347
5,50,False,25,Logistic Regression,recall_macro,0.9251522986114018,0.020401031222360227
