timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
5615981,-0.34,-0.04,-11.42,0.05,1.18,-0.25,frisson
5615995,0.36,-0.18,-11.11,0.15,0.73,-0.19,frisson
5616009,0.31,-0.34,-11.11,0.25,0.15,-0.1,frisson
5616023,-0.2,-0.38,-11.18,0.34,-0.25,-0.03,frisson
5616037,-0.87,-0.4,-11.16,0.41,-0.48,0.03,frisson
5616051,-1.92,-0.59,-11.1,0.46,-0.46,0.07,frisson
5616065,-1.99,-0.59,-10.96,0.48,-0.3,0.09,frisson
5616079,-2.27,-0.83,-10.85,0.47,-0.14,0.09,frisson
5616093,-2.26,-0.8,-10.99,0.45,0.06,0.09,frisson
5616107,-2.16,-0.82,-11.14,0.42,0.15,0.07,frisson
5616121,-2.06,-0.93,-11.45,0.39,0.24,0.04,frisson
5616135,-1.85,-0.85,-11.45,0.36,0.26,0.01,frisson
5616149,-2.05,-0.87,-11.58,0.33,0.3,-0.01,frisson
5616163,-1.88,-0.79,-11.31,0.28,0.39,-0.04,frisson
5616177,-1.74,-0.7,-11.38,0.27,0.38,-0.07,frisson
5616191,-1.56,-0.79,-11.07,0.24,0.36,-0.08,frisson
5616205,-1.56,-0.85,-10.9,0.2,0.3,-0.09,frisson
5616219,-2.27,-1.03,-10.82,0.17,0.32,-0.11,frisson
5616233,-2.52,-1.15,-10.94,0.12,0.59,-0.16,frisson
5616247,-2.3,-1.19,-11.29,0.07,0.81,-0.2,frisson
5616261,-1.26,-1.11,-11.61,0.04,0.94,-0.22,frisson
5616275,-0.18,-1.04,-11.57,0.06,0.72,-0.21,frisson
5616289,0.06,-1.03,-11.51,0.08,0.38,-0.18,frisson
5616303,0.34,-1.01,-11.36,0.11,-0.09,-0.17,frisson
5616317,-0.41,-1.16,-11.42,0.13,-0.4,-0.16,frisson
5616331,-1.62,-1.22,-11.37,0.12,-0.33,-0.16,frisson
5616345,-2.66,-1.23,-11.26,0.1,-0.04,-0.18,frisson
5616359,-2.93,-1.23,-11.29,0.08,0.52,-0.21,frisson
5616373,-2.12,-1.21,-11.38,0.07,0.84,-0.22,frisson
5616387,-0.94,-1.17,-11.5,0.08,1.01,-0.2,frisson
5616401,0.51,-1.11,-11.66,0.13,0.7,-0.17,frisson
5616415,1.16,-0.98,-11.74,0.18,0.25,-0.14,frisson
5616429,0.79,-1.04,-11.77,0.26,-0.37,-0.11,frisson
5616443,0.15,-1.11,-11.59,0.28,-0.84,-0.09,frisson
5616457,-0.49,-1.35,-11.31,0.27,-1.17,-0.08,frisson
5616471,-2.13,-1.34,-11.09,0.26,-1.1,-0.08,frisson
5616485,-4.1,-1.35,-10.67,0.22,-0.41,-0.13,frisson
5616499,-4.16,-1.44,-10.89,0.17,0.38,-0.2,frisson
5616513,-4.01,-1.48,-11.03,0.14,1.12,-0.25,frisson
5616527,-2.51,-1.45,-11.17,0.13,1.7,-0.26,frisson
5616541,-0.96,-1.52,-11.09,0.15,1.91,-0.24,frisson
5616555,0.46,-1.47,-10.94,0.19,1.85,-0.21,frisson
5616569,1.56,-1.43,-11.04,0.24,1.45,-0.18,frisson
5616583,2.43,-1.39,-10.93,0.29,0.74,-0.14,frisson
5616597,2.28,-1.49,-11.09,0.33,-0.03,-0.11,frisson
5616611,1.67,-1.5,-10.91,0.36,-0.71,-0.08,frisson
5616625,0.59,-1.57,-10.81,0.35,-1.15,-0.07,frisson
5616639,-0.54,-1.61,-10.64,0.34,-1.3,-0.07,frisson
5616653,-1.97,-1.65,-10.34,0.34,-1.13,-0.09,frisson
5616667,-2.59,-1.87,-10.37,0.3,-0.67,-0.13,frisson
5616681,-2.8,-1.92,-10.46,0.27,-0.17,-0.15,frisson
5616695,-3.14,-2.09,-10.42,0.24,0.51,-0.17,frisson
5616709,-2.52,-2.17,-10.49,0.19,1.14,-0.2,frisson
5616723,-1.47,-2.2,-10.53,0.15,1.57,-0.21,frisson
5616737,-0.17,-2.22,-10.66,0.12,1.75,-0.19,frisson
5616751,0.86,-2.12,-10.96,0.1,1.72,-0.18,frisson
5616765,2.6,-1.89,-11.11,0.1,1.33,-0.18,frisson
5616779,3.88,-1.7,-11.47,0.15,0.4,-0.16,frisson
5616793,4.49,-1.65,-11.65,0.23,-0.77,-0.11,frisson
5616807,3.31,-1.83,-11.63,0.3,-1.79,-0.05,frisson
5616821,1.13,-1.75,-10.97,0.32,-2.37,-0.01,frisson
5616835,-2.25,-1.92,-10.57,0.34,-2.2,-0.03,frisson
5616849,-5.07,-2.16,-10.28,0.29,-1.26,-0.09,frisson
5616863,-5.9,-2.38,-10.55,0.22,0.02,-0.2,frisson
5616877,-4.33,-2.51,-10.95,0.15,1.13,-0.27,frisson
5616891,-1.88,-2.48,-11.1,0.12,1.83,-0.28,frisson
5616905,0.51,-2.35,-11.14,0.13,1.93,-0.25,frisson
5616919,2.67,-2.34,-11.08,0.18,1.48,-0.22,frisson
5616933,3.22,-2.45,-11.08,0.22,0.71,-0.16,frisson
5616947,3.19,-2.32,-11.12,0.24,-0.05,-0.11,frisson
5616961,2.22,-2.31,-11.17,0.25,-0.77,-0.08,frisson
5616975,0.56,-2.37,-11.02,0.25,-1.12,-0.07,frisson
5616989,-1.23,-2.46,-10.71,0.23,-0.98,-0.09,frisson
5617003,-3.36,-2.68,-10.62,0.19,-0.37,-0.13,frisson
5617017,-3.19,-2.75,-10.39,0.11,0.47,-0.19,frisson
5617031,-2.2,-2.93,-10.84,0.03,1.14,-0.23,frisson
5617045,-0.12,-2.73,-11.1,0.02,1.47,-0.23,frisson
5617059,1.71,-2.55,-11.18,0.06,1.21,-0.21,frisson
5617073,2.69,-2.4,-11.22,0.11,0.69,-0.17,frisson
5617087,2.6,-2.4,-11.26,0.16,-0.0,-0.14,frisson
5617101,1.65,-2.41,-11.25,0.2,-0.55,-0.12,frisson
5617115,0.64,-2.46,-11.07,0.22,-0.87,-0.12,frisson
5617129,-1.54,-2.53,-10.9,0.22,-0.73,-0.15,frisson
5617143,-2.12,-2.54,-10.8,0.2,-0.3,-0.2,frisson
5617157,-3.8,-2.57,-10.41,0.16,0.66,-0.25,frisson
5617171,-2.36,-2.76,-10.34,0.13,1.5,-0.32,frisson
5617185,0.02,-2.76,-10.46,0.11,1.85,-0.33,frisson
5617199,2.5,-2.62,-10.49,0.12,1.76,-0.28,frisson
5617213,4.59,-2.59,-10.55,0.17,0.95,-0.23,frisson
5617227,5.23,-2.7,-10.61,0.23,-0.02,-0.17,frisson
5617241,4.58,-2.73,-10.6,0.25,-1.1,-0.1,frisson
5617255,3.02,-2.73,-10.36,0.24,-1.87,-0.04,frisson
5617269,-0.63,-2.74,-9.96,0.2,-2.0,-0.01,frisson
5617283,-4.08,-2.74,-9.38,0.11,-1.04,-0.06,frisson
5617297,-5.06,-2.85,-9.52,0.01,0.25,-0.18,frisson
5617311,-3.12,-2.87,-9.78,-0.08,1.38,-0.25,frisson
5617325,0.32,-2.87,-9.99,-0.12,1.9,-0.25,frisson
5617339,3.34,-2.62,-10.06,-0.1,1.72,-0.21,frisson
5617353,5.33,-2.49,-10.24,-0.04,0.87,-0.13,frisson
5617367,5.31,-2.38,-10.63,0.04,-0.1,-0.03,frisson
5617381,4.33,-2.24,-10.77,0.1,-1.04,0.05,frisson
5617395,2.37,-2.37,-10.49,0.13,-1.65,0.1,frisson
5617409,0.06,-2.54,-10.03,0.11,-1.78,0.12,frisson
5617423,-2.55,-2.65,-9.61,0.06,-1.2,0.09,frisson
