timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1185678,-2.15,-0.51,-10.91,0.04,0.16,0.02,frisson_assis_bras_table
1185692,-1.99,-0.45,-11.07,0.02,0.26,0.01,frisson_assis_bras_table
1185706,-1.97,-0.46,-11.22,0.02,0.23,-0.01,frisson_assis_bras_table
1185720,-2.06,-0.43,-11.25,0.02,0.17,-0.04,frisson_assis_bras_table
1185734,-1.46,-0.59,-11.11,0.01,0.13,-0.05,frisson_assis_bras_table
1185748,-1.20,-0.58,-11.18,-0.00,0.02,-0.03,frisson_assis_bras_table
1185762,-1.39,-0.52,-11.09,-0.02,-0.14,-0.02,frisson_assis_bras_table
1185776,-1.50,-0.53,-11.16,-0.03,-0.24,-0.00,frisson_assis_bras_table
1185790,-2.06,-0.37,-11.40,-0.03,-0.18,0.01,frisson_assis_bras_table
1185804,-1.64,-0.16,-11.66,0.00,-0.09,0.02,frisson_assis_bras_table
1185818,-1.81,-0.50,-10.94,0.03,-0.15,0.02,frisson_assis_bras_table
1185832,-2.29,-0.48,-11.01,0.02,-0.10,0.02,frisson_assis_bras_table
1185846,-2.41,-0.55,-10.94,0.01,0.01,0.02,frisson_assis_bras_table
1185860,-2.11,-0.40,-11.29,0.00,0.08,0.01,frisson_assis_bras_table
1185874,-1.91,-0.36,-11.45,0.02,0.05,-0.00,frisson_assis_bras_table
1185888,-1.89,-0.43,-11.22,0.04,0.04,-0.01,frisson_assis_bras_table
1185902,-1.87,-0.45,-11.10,0.04,0.05,-0.00,frisson_assis_bras_table
1185916,-1.89,-0.53,-11.03,0.03,0.05,0.00,frisson_assis_bras_table
1185930,-1.75,-0.61,-11.04,0.01,0.02,0.01,frisson_assis_bras_table
1185944,-1.76,-0.54,-11.03,-0.00,-0.01,0.01,frisson_assis_bras_table
1185958,-1.64,-0.58,-11.01,-0.01,-0.04,0.03,frisson_assis_bras_table
1185972,-2.19,-0.50,-11.05,-0.01,-0.02,0.05,frisson_assis_bras_table
1185986,-2.14,-0.14,-11.81,0.01,0.07,0.04,frisson_assis_bras_table
1186000,-2.41,-0.57,-11.43,0.07,0.11,0.01,frisson_assis_bras_table
1186014,-1.76,-0.59,-10.49,0.06,0.18,0.02,frisson_assis_bras_table
1186028,-1.79,-0.63,-10.90,0.02,0.21,0.04,frisson_assis_bras_table
1186042,-1.70,-0.41,-11.27,0.00,0.22,0.04,frisson_assis_bras_table
1186056,-1.87,-0.49,-11.14,0.00,0.18,0.03,frisson_assis_bras_table
1186070,-1.85,-0.38,-11.26,0.01,0.15,0.02,frisson_assis_bras_table
1186084,-1.85,-0.37,-11.32,0.02,0.09,0.00,frisson_assis_bras_table
1186098,-1.87,-0.47,-11.17,0.03,0.04,-0.01,frisson_assis_bras_table
1186112,-1.96,-0.50,-10.99,0.02,0.01,-0.02,frisson_assis_bras_table
1186126,-1.91,-0.58,-10.96,0.00,0.04,-0.03,frisson_assis_bras_table
1186140,-1.84,-0.51,-11.02,-0.02,0.04,-0.03,frisson_assis_bras_table
1186154,-1.80,-0.55,-11.04,-0.03,0.04,-0.01,frisson_assis_bras_table
1186168,-1.74,-0.45,-11.37,-0.02,0.09,0.00,frisson_assis_bras_table
1186182,-1.75,-0.39,-11.34,0.01,0.07,0.01,frisson_assis_bras_table
1186196,-1.66,-0.40,-11.24,0.02,0.04,0.01,frisson_assis_bras_table
1186210,-1.68,-0.47,-11.04,0.02,0.05,0.02,frisson_assis_bras_table
1186224,-1.89,-0.38,-11.29,0.03,0.03,0.02,frisson_assis_bras_table
1186238,-1.93,-0.40,-11.20,0.03,0.03,0.02,frisson_assis_bras_table
1186252,-1.83,-0.43,-11.14,0.03,0.02,0.01,frisson_assis_bras_table
1186266,-1.76,-0.49,-11.11,0.03,0.01,-0.00,frisson_assis_bras_table
1186280,-1.86,-0.58,-11.06,0.03,0.01,-0.00,frisson_assis_bras_table
1186294,-2.06,-0.60,-10.87,0.01,0.04,-0.01,frisson_assis_bras_table
1186308,-2.07,-0.54,-10.97,-0.01,0.09,-0.02,frisson_assis_bras_table
1186322,-1.67,-0.56,-10.97,-0.02,0.11,-0.02,frisson_assis_bras_table
1186336,-1.84,-0.47,-11.21,-0.03,0.09,-0.02,frisson_assis_bras_table
1186350,-1.74,-0.28,-11.64,-0.00,0.11,-0.02,frisson_assis_bras_table
1186364,-1.60,-0.29,-11.37,0.04,0.07,-0.03,frisson_assis_bras_table
1186378,-1.23,-0.36,-11.42,0.05,-0.01,-0.02,frisson_assis_bras_table
1186392,-1.56,-0.36,-11.30,0.07,-0.11,0.01,frisson_assis_bras_table
1186406,-1.69,-0.63,-10.98,0.06,-0.08,0.02,frisson_assis_bras_table
1186420,-1.84,-0.66,-10.88,0.04,-0.07,0.03,frisson_assis_bras_table
1186434,-1.95,-0.63,-10.84,-0.00,-0.08,0.03,frisson_assis_bras_table
1186448,-1.79,-0.59,-11.01,-0.03,-0.08,0.03,frisson_assis_bras_table
1186462,-1.99,-0.69,-10.78,-0.06,-0.10,0.02,frisson_assis_bras_table
1186476,-2.31,-0.48,-11.31,-0.07,-0.01,0.02,frisson_assis_bras_table
1186490,-2.05,-0.00,-11.94,-0.04,0.07,0.01,frisson_assis_bras_table
1186504,-1.71,-0.28,-11.17,0.02,0.02,-0.01,frisson_assis_bras_table
1186518,-1.64,-0.38,-11.22,0.03,0.01,0.01,frisson_assis_bras_table
1186532,-2.01,-0.38,-11.44,0.05,-0.02,-0.00,frisson_assis_bras_table
1186546,-1.97,-0.44,-11.06,0.06,-0.02,-0.01,frisson_assis_bras_table
1186560,-1.96,-0.55,-10.88,0.05,-0.01,-0.01,frisson_assis_bras_table
1186574,-1.94,-0.55,-10.90,0.02,0.03,0.00,frisson_assis_bras_table
