timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,label
1551402,-9.49,-1.11,-0.91,0.09,-0.27,0.04,repos
1551416,-9.28,-1.17,-0.70,0.09,-0.27,0.03,repos
1551430,-9.33,-1.14,-0.71,0.08,-0.26,0.03,repos
1551444,-9.50,-1.10,-0.61,0.08,-0.20,0.03,repos
1551458,-9.68,-1.13,-0.54,0.08,-0.10,0.03,repos
1551472,-9.83,-1.13,-0.52,0.07,0.06,0.01,repos
1551486,-9.27,-1.10,-0.56,0.06,0.09,0.00,repos
1551500,-9.23,-1.15,-0.63,0.05,0.04,0.00,repos
1551514,-9.33,-1.14,-0.63,0.04,0.00,0.00,repos
1551528,-9.25,-1.18,-0.65,0.02,-0.06,-0.00,repos
1551542,-9.36,-1.13,-0.63,0.01,-0.11,-0.00,repos
1551556,-9.50,-1.17,-0.56,0.01,-0.08,-0.01,repos
1551570,-9.57,-1.15,-0.61,0.01,-0.03,-0.02,repos
1551584,-9.53,-1.19,-0.63,0.02,0.04,-0.03,repos
1551598,-9.37,-1.22,-0.62,0.02,0.08,-0.03,repos
1551612,-9.26,-1.19,-0.74,0.02,0.05,-0.03,repos
1551626,-9.23,-1.20,-0.74,0.01,-0.01,-0.03,repos
1551640,-9.28,-1.18,-0.77,0.01,-0.06,-0.03,repos
1551654,-9.38,-1.23,-0.65,0.01,-0.07,-0.03,repos
1551668,-9.47,-1.22,-0.56,0.01,-0.04,-0.03,repos
1551682,-9.35,-1.20,-0.53,0.01,-0.02,-0.03,repos
1551696,-9.37,-1.23,-0.52,0.01,0.01,-0.03,repos
1551710,-9.51,-1.20,-0.41,0.01,0.06,-0.03,repos
1551724,-9.63,-1.13,-0.35,0.01,0.14,-0.04,repos
1551738,-9.70,-1.21,-0.37,0.01,0.22,-0.05,repos
1551752,-10.04,-1.14,-0.29,0.00,0.33,-0.06,repos
1551766,-10.27,-1.13,-0.39,0.00,0.51,-0.09,repos
1551780,-10.36,-1.26,-0.44,0.00,0.75,-0.12,repos
1551794,-9.93,-1.24,-0.62,-0.00,0.93,-0.16,repos
1551808,-9.72,-1.39,-0.79,-0.01,1.07,-0.19,repos
1551822,-9.39,-1.47,-1.08,-0.01,1.16,-0.21,repos
1551836,-9.27,-1.48,-1.30,-0.02,1.20,-0.21,repos
1551850,-9.31,-1.50,-1.47,-0.03,1.25,-0.21,repos
1551864,-8.63,-1.58,-1.59,-0.04,1.15,-0.20,repos
1551878,-8.59,-1.59,-1.85,-0.06,0.96,-0.17,repos
1551892,-8.35,-1.60,-2.01,-0.07,0.72,-0.14,repos
1551906,-8.44,-1.61,-2.17,-0.09,0.48,-0.12,repos
1551920,-8.90,-1.59,-2.29,-0.09,0.36,-0.09,repos
1551934,-9.27,-1.54,-2.35,-0.09,0.36,-0.07,repos
1551948,-9.51,-1.49,-2.29,-0.07,0.45,-0.07,repos
1551962,-9.82,-1.50,-2.15,-0.04,0.62,-0.06,repos
